YYYY,MM,DD,hh,mm,ss,Q_AR_TR_sum (m^3/s)
1962,1,21,0,0,0,4836.50944
1962,1,22,0,0,0,5031.89536
1962,1,23,0,0,0,5207.45952
1962,1,24,0,0,0,5176.31104
1962,1,25,0,0,0,5014.90528
1962,1,26,0,0,0,4836.50944
1962,1,27,0,0,0,4884.648
1962,1,28,0,0,0,4941.2816
1962,1,29,0,0,0,4966.76672
1962,1,30,0,0,0,5020.56864
1962,1,31,0,0,0,5204.62784
1962,2,1,0,0,0,5363.20192
1962,2,2,0,0,0,5501.95424
1962,2,3,0,0,0,5688.84512
1962,2,4,0,0,0,5691.6768
1962,2,5,0,0,0,5770.96384
1962,2,6,0,0,0,5782.29056
1962,2,7,0,0,0,5674.68672
1962,2,8,0,0,0,5252.7664
1962,2,9,0,0,0,4944.11328
1962,2,10,0,0,0,4782.70752
1962,2,11,0,0,0,4332.4704
1962,2,12,0,0,0,3624.5504
1962,2,13,0,0,0,2554.17536
1962,2,14,0,0,0,2106.76992
1962,2,15,0,0,0,1948.19584
1962,2,16,0,0,0,1925.5424
1962,2,17,0,0,0,1956.69088
1962,2,18,0,0,0,1979.34432
1962,2,19,0,0,0,1968.0176
1962,2,20,0,0,0,1917.04736
1962,2,21,0,0,0,1908.55232
1962,2,22,0,0,0,2304.98752
1962,2,23,0,0,0,3063.87776
1962,2,24,0,0,0,3488.62976
1962,2,25,0,0,0,4284.33184
1962,2,26,0,0,0,4655.28192
1962,2,27,0,0,0,4893.14304
1962,2,28,0,0,0,5167.816
1962,3,1,0,0,0,5456.64736
1962,3,2,0,0,0,5467.97408
1962,3,3,0,0,0,5496.29088
1962,3,4,0,0,0,5269.75648
1962,3,5,0,0,0,4980.92512
1962,3,6,0,0,0,4774.21248
1962,3,7,0,0,0,4326.80704
1962,3,8,0,0,0,3981.34208
1962,3,9,0,0,0,3658.53056
1962,3,10,0,0,0,3369.6992
1962,3,11,0,0,0,3236.61024
1962,3,12,0,0,0,3403.67936
1962,3,13,0,0,0,3624.5504
1962,3,14,0,0,0,3851.0848
1962,3,15,0,0,0,4114.43104
1962,3,16,0,0,0,4205.0448
1962,3,17,0,0,0,4105.936
1962,3,18,0,0,0,3970.01536
1962,3,19,0,0,0,3709.5008
1962,3,20,0,0,0,3293.24384
1962,3,21,0,0,0,2775.0464
1962,3,22,0,0,0,2350.2944
